date,amount,description,category,comment
2016-03-10,28,0x5c0df,reiki,0xa8516a3ab8
2016-03-10,14,0xeb0bb,reiki,0xdddea150a1
2016-03-11,99,0xaf27a,yoga,0x4f0e9b6ddc
2016-03-11,-24,0x9d020,transport,0x644ec5ec1
2016-03-12,21,0x199bd,reiki,0xeba4789cd9
2016-03-12,51,0x8edd4,reiki,0xf8c9476b0d
2016-03-13,39,0x27cd2,reiki,0x621121af54
2016-03-13,-59,0x8ec9b,food,0xab516fa191
2016-03-14,89,0xbb09a,yoga,0x872984dd40
2016-03-14,56,0x2eac,yoga,0x11ec1abd40
2016-03-15,62,0x4df8e,reiki,0x3bce6d8982
2016-03-15,91,0xe2d59,yoga,0xf2663f1025
2016-03-16,-60,0x77877,food,0x4f5fda8f94
2016-03-16,13,0x44d44,yoga,0xe0b5935997
2016-03-17,-18,0x1174,housing,0xd6ffc40a01
2016-03-17,56,0xe7f46,reiki,0x682484482d
2016-03-18,-1,0x642ca,miscellany,0xf01b274901
2016-03-18,-50,0x23bfd,food,0xd2f6869a4f
2016-03-19,82,0x6a1b9,reiki,0x38dd9aeb49
2016-03-19,-48,0x656fc,miscellany,0xc8f8dec1ad
2016-03-20,80,0x52198,reiki,0x734b28a59e
2016-03-20,-49,0x368a8,food,0x8835893c3
2016-03-21,-74,0xa050b,transport,0xb491773dd1
2016-03-21,-38,0x5ea86,miscellany,0x9269501c3f
2016-03-22,11,0x988b9,reiki,0x25bcc4747
2016-03-22,-33,0xe6839,healthcare,0x7aaaa40ec
2016-03-23,-87,0xec336,healthcare,0x7c748cec88
2016-03-23,71,0xe232,yoga,0xbb1f0c14a1
2016-03-24,81,0x60354,reiki,0x5ccf145487
2016-03-24,5,0x342b7,reiki,0x1d53370e86
2016-03-25,90,0xddd1f,yoga,0x2d56d7052b
2016-03-25,76,0x199a4,yoga,0x72fbe31fca
2016-03-26,-95,0xf6c25,healthcare,0xb2adb1f705
2016-03-26,1,0xbc28a,thieving,0x2264c4b7da
2016-03-27,-63,0x2ecda,transport,0xf9989803df
2016-03-27,-63,0xae72,miscellany,0x5dd46f0748
2016-03-28,-99,0x7189d,healthcare,0xc934067784
2016-03-28,10,0x902a1,yoga,0xbaf3d28162
2016-03-29,-55,0x31754,housing,0xf2d0609a62
2016-03-29,99,0x1b000,yoga,0x9a563dacbe
2016-03-30,-10,0x10776,transport,0xa7fb7228a6
2016-03-30,-26,0x1ad3f,healthcare,0x3833b46dd6
2016-03-31,32,0x97448,reiki,0x316c10428d
2016-03-31,96,0xac8d5,reiki,0x71d44551aa
2016-04-01,-72,0x4fb58,food,0x46edcdaeeb
2016-04-01,-51,0x436de,transport,0xb268021297
2016-04-02,69,0x4ef4b,yoga,0xc765b9d818
2016-04-02,-46,0x5c13a,housing,0x2743dbac8e
2016-04-03,21,0xe8727,yoga,0x53ead32ce8
2016-04-03,-7,0x41580,food,0xb113eb20b9
2016-04-04,-15,0xfee43,healthcare,0xcb2d608055
2016-04-04,9,0xe4c16,reiki,0x5fa6e1a002
2016-04-05,-35,0x3e156,miscellany,0xf2ad7699e9
2016-04-05,35,0xf4937,reiki,0xcfea6932f0
2016-04-06,46,0x90273,thieving,0xb142a64bb0
2016-04-06,85,0xbfb80,thieving,0x4fcc007737
2016-04-07,43,0xceb36,reiki,0x6972f9041d
2016-04-07,-68,0x36f36,food,0x3dc9d971b3
2016-04-08,82,0xabd12,reiki,0xca8b7d5e54
2016-04-08,-29,0xe7160,food,0xbda4a09dc6
2016-04-09,52,0xa4374,reiki,0xd34da71aa9
2016-04-09,-47,0xfdeeb,transport,0xf294cbf5a2
2016-04-10,-49,0x23132,miscellany,0x52413e88e6
2016-04-10,-80,0x7620f,healthcare,0x7c4270abfb
2016-04-11,57,0xcfe05,yoga,0xb91f44be43
2016-04-11,-23,0xe8e31,transport,0xade18deabe
2016-04-12,-3,0x99867,transport,0xbd44d4c45f
2016-04-12,55,0xe77cd,reiki,0x4a42723808
2016-04-13,31,0xba851,yoga,0x8c44bd02ec
2016-04-13,45,0xfc16d,yoga,0x8758b8b370
2016-04-14,-62,0x8db61,housing,0x40387e5a75
2016-04-14,-52,0x3cc6b,miscellany,0x9af1f6ebfe
2016-04-15,-68,0xe5c1b,housing,0xa62485cc2f
2016-04-15,88,0x6a5f9,thieving,0xc46a23de1e
2016-04-16,-31,0xfbcd2,healthcare,0xfdf4ff8754
2016-04-16,-64,0x23a35,food,0x16368cd91f
2016-04-17,61,0x354d8,thieving,0x8318aa50ea
2016-04-17,8,0xe4bbe,thieving,0x4697e4dff4
2016-04-18,-71,0x6aaa0,food,0xfc2e323acf
2016-04-18,-85,0xa95f0,housing,0x9122f3768a
2016-04-19,74,0xb1317,yoga,0xea1bcf22a9
2016-04-19,38,0x9c1b8,thieving,0xbd7d21738e
2016-04-20,-46,0xb2ccd,miscellany,0xb93a704f79
2016-04-20,39,0x63369,thieving,0xcb7322a488
2016-04-21,4,0xe9f36,reiki,0xc258ccc1e
2016-04-21,-9,0x9eb4f,transport,0xf2f30fc6b1
2016-04-22,53,0x7b13b,yoga,0x85c3dc5a8
2016-04-22,-98,0xc4be,miscellany,0x355382b713
2016-04-23,98,0x5e73a,reiki,0x3bd5bc93c8
2016-04-23,-60,0x7bf0,miscellany,0xf6770062c6
2016-04-24,11,0xc3725,yoga,0x6ce5f8128c
2016-04-24,-6,0xf8671,housing,0x906b0aae64
2016-04-25,-33,0xb7421,food,0x6fea9d102c
2016-04-25,79,0x190f7,yoga,0xb102a196b8
2016-04-26,10,0xa7b8,yoga,0x3745a38698
2016-04-26,-57,0xd3d12,healthcare,0x16fdec4e91
2016-04-27,76,0xac321,thieving,0x87597e7dd9
2016-04-27,-84,0x53b6f,transport,0xde2034651a
2016-04-28,35,0x6aec0,yoga,0x3e8affbd84
2016-04-28,64,0xc3a8f,thieving,0xce8d350862
2016-04-29,-3,0xd88a9,transport,0x6da910b63b
2016-04-29,-42,0x6f2f9,transport,0x87266c09fd
2016-04-30,-66,0x7da2a,housing,0x5c78d673f9
2016-04-30,57,0x5e1d7,yoga,0x23436a05c0
2016-05-01,-73,0xa5c45,transport,0xf95acc0b6e
2016-05-01,97,0xfca6f,reiki,0xc14d7a10f
2016-05-02,-34,0x7a5b2,transport,0x5c291e3456
2016-05-02,-93,0xeb7ce,food,0x90a73d1d3f
2016-05-03,-39,0x89376,food,0x746a0be643
2016-05-03,3,0x8e928,reiki,0x91c58c7b16
2016-05-04,86,0x8db4d,yoga,0xaa81ad0ac3
2016-05-04,71,0x30df7,thieving,0x3f216455ac
2016-05-05,-36,0xa718b,housing,0x22b82b5d83
2016-05-05,99,0xbf4c1,thieving,0x4a8ebce6f5
2016-05-06,-58,0x992ec,miscellany,0x5f55aa2058
2016-05-06,54,0xbeaea,thieving,0xf7af5827f2
2016-05-07,-15,0x228df,transport,0x31cb60cff1
2016-05-07,63,0x12988,yoga,0x184f91eb0d
2016-05-08,98,0x1c841,reiki,0x59d1a6408b
2016-05-08,23,0xa6256,reiki,0x9827f47fb8
2016-05-09,6,0xd0cba,reiki,0x41a7ed2fb6
2016-05-09,-59,0x53dc,transport,0xc0aca48eef
2016-05-10,30,0x80f9e,yoga,0xdd56f73ce
2016-05-10,0,0x2c547,transport,0x1c1777e43e
2016-05-11,62,0x2119d,thieving,0x2d1ab3de1b
2016-05-11,68,0x5b9bc,thieving,0x94d9b82f08
2016-05-12,71,0x867c4,thieving,0x1a36d521f4
2016-05-12,-34,0x5a15a,transport,0xfc0b5d1fa2
2016-05-13,-57,0xeaf95,housing,0x682ddc236
2016-05-13,-56,0x6cd73,healthcare,0xabbee3e484
2016-05-14,23,0xa3999,reiki,0x3a6823af6c
2016-05-14,-46,0x722a7,housing,0x237a594fbd
2016-05-15,28,0xcde37,reiki,0x6aa5edd3df
2016-05-15,-3,0xe315d,food,0xc791aaacaa
2016-05-16,56,0xccbb2,yoga,0xa18e90bbd7
2016-05-16,58,0x95bcb,reiki,0xf0ceeedd1f
2016-05-17,55,0x8a122,reiki,0xe061b6318f
2016-05-17,-76,0x803ce,food,0x57cc9d6f71
2016-05-18,9,0xa9d9c,thieving,0x6e09a23943
2016-05-18,-37,0x415ac,food,0xa2c89ec502
2016-05-19,-32,0x9b59a,miscellany,0x218fe1fea4
2016-05-19,-43,0x76939,miscellany,0x8de6cb2b4d
2016-05-20,-11,0xfc268,healthcare,0x149525ef1c
2016-05-20,69,0x3db48,thieving,0xec600916f7
2016-05-21,-46,0xc1e76,miscellany,0xf4f3f52d5d
2016-05-21,-19,0x692b,miscellany,0x37b48e9e4f
2016-05-22,58,0x2a367,yoga,0x76d06d98ba
2016-05-22,42,0xfa9e1,thieving,0xfbdcf3ebc6
2016-05-23,-30,0x5e65b,healthcare,0xd1317b6e20
2016-05-23,-87,0xb2a96,food,0xb8c59a58a7
2016-05-24,38,0x85073,thieving,0xd291235613
2016-05-24,-37,0x5aab4,housing,0x2ef5c44320
2016-05-25,-72,0xd67c4,healthcare,0x5de1c81114
2016-05-25,10,0xe5512,yoga,0x50a86ed06
2016-05-26,-20,0x73df6,food,0xc6b2dd117c
2016-05-26,-67,0x32dde,housing,0x961ae8bf7
2016-05-27,-11,0xe1795,food,0xde4d75abd
2016-05-27,-60,0x9d1c9,healthcare,0x716dc4ddf3
2016-05-28,16,0x4d939,reiki,0xdb7e2b7919
2016-05-28,-28,0xf17e2,food,0x209424bd2e
2016-05-29,3,0x3fd1d,reiki,0x624fbaffd1
2016-05-29,63,0xa87c0,thieving,0x4b3fe2df00
2016-05-30,54,0x63eb1,yoga,0x4de067693e
2016-05-30,-9,0xe0b16,housing,0xc9e3102a54
2016-05-31,-11,0xc14b3,housing,0xa13f755efb
2016-05-31,-37,0x40dc2,housing,0x6fa6cbcb99
2016-06-01,-39,0xf220,healthcare,0x6360a2aff4
2016-06-01,30,0x9aab9,reiki,0xc5df6c8af6
2016-06-02,-41,0xbdc20,transport,0x265b32f690
2016-06-02,42,0xd87b6,thieving,0x61db69ceb0
2016-06-03,-75,0x529b2,miscellany,0xdb89dfdf22
2016-06-03,-53,0xb69e3,housing,0x928f333f1c
2016-06-04,52,0x71bc5,yoga,0x5977f4efa8
2016-06-04,-8,0xd1414,healthcare,0xc268d330ce
2016-06-05,29,0xd811d,yoga,0xb9df0f2ab2
2016-06-05,-47,0xf90fb,food,0x8dfb090fae
2016-06-06,78,0x5edd7,yoga,0xb561a96f
2016-06-06,-32,0x67e79,healthcare,0x90ebb13d9a
2016-06-07,-4,0x30aa3,transport,0x1382df7a84
2016-06-07,-62,0xe897f,food,0x85587d3ea2
2016-06-08,-56,0xcbba8,transport,0x1ef08ba4b9
2016-06-08,87,0xd8e08,reiki,0xad938040fb
2016-06-09,97,0x7c274,thieving,0x60b84039ef
2016-06-09,42,0xa0b1e,thieving,0x68fd911068
2016-06-10,10,0xf47c5,thieving,0xd96e038584
2016-06-10,1,0xd7f3d,thieving,0x384c5ab473
2016-06-11,68,0xf40f2,yoga,0x13165b4d27
2016-06-11,72,0xd24ab,thieving,0xb750c09040
2016-06-12,-51,0xa6e1c,miscellany,0xe991edc6d9
2016-06-12,77,0xefd76,yoga,0x80f3cef6b5
2016-06-13,82,0x743f2,yoga,0x541591d2ee
2016-06-13,13,0x1286f,yoga,0x1ad6aa26fe
2016-06-14,-97,0xaf70d,food,0x9fd6d51847
2016-06-14,39,0xc621,thieving,0xf1c2c79a97
2016-06-15,27,0x71f15,yoga,0x5df25b9c21
2016-06-15,39,0x6c266,reiki,0x9ed8fcde77
2016-06-16,61,0x4933e,thieving,0x4c91f6a63c
2016-06-16,96,0xa3245,thieving,0x9aeafd2bb7
2016-06-17,-2,0xbbd06,food,0xb0a5081d93
2016-06-17,68,0x66ca4,reiki,0x518bc4c15c
2016-06-18,64,0x90ff4,thieving,0xbc9a815287
2016-06-18,-43,0x46520,food,0x6f5928d99a
2016-06-19,75,0x78d5c,thieving,0xd9ef7ea0c8
2016-06-19,49,0x78db2,thieving,0x15ba067fb3
2016-06-20,-83,0x8c5a,housing,0x197b27b19
2016-06-20,-63,0x702eb,food,0x360a3ede9a
2016-06-21,68,0x1925e,yoga,0x8d691304a6
2016-06-21,34,0x85b15,reiki,0x538343b7ef
2016-06-22,-52,0xc4834,housing,0xdcd3297265
2016-06-22,-85,0x1aab7,food,0x917e1bc828
2016-06-23,-50,0xe0a8a,healthcare,0x48a13a3500
2016-06-23,-55,0x4ff2a,housing,0xbdaa34ecc4
2016-06-24,80,0x3b8b0,yoga,0x76a84d4267
2016-06-24,77,0xfa26f,yoga,0x37f577a816
2016-06-25,-86,0xe5d2e,food,0x18ec1b08c9
2016-06-25,-1,0x6a5c6,healthcare,0xc661c7678c
2016-06-26,-73,0xdfbf1,food,0x15429e54c5
2016-06-26,-16,0x14728,healthcare,0x62ec6d89e7
2016-06-27,-80,0x8ba9a,healthcare,0x575d3b0022
2016-06-27,-11,0x5781e,transport,0xf72b725dda
2016-06-28,65,0xca71,yoga,0x5cf15d8676
2016-06-28,45,0x3a437,thieving,0xe92f49618e
2016-06-29,-22,0x77b69,food,0xcf3d268a70
2016-06-29,-79,0x51ed,transport,0xe0888f923d
2016-06-30,-53,0x80858,transport,0x3c84b6fb84
2016-06-30,19,0x1ef88,thieving,0x8c7ff08b59
2016-07-01,83,0x570ef,reiki,0x2924451263
2016-07-01,69,0x4eadb,yoga,0x676adfa201
2016-07-02,89,0x5377a,thieving,0xebe25e084e
2016-07-02,-35,0x2966a,food,0x14ac77cb7c
2016-07-03,-97,0x48a88,transport,0x1cbfee19a0
2016-07-03,-1,0xfad91,transport,0x4b918a48e7
2016-07-04,96,0x4cc87,thieving,0xdfb9d284d4
2016-07-04,-21,0x4475f,transport,0x292b643e82
2016-07-05,58,0xd237b,thieving,0x691b9e9753
2016-07-05,64,0x2cad4,thieving,0x1af0f31a5f
2016-07-06,90,0x87b0e,yoga,0x84362432f
2016-07-06,-54,0xe7ccd,food,0x910d82eb1e
2016-07-07,50,0x9763b,yoga,0x88a565a874
2016-07-07,-81,0xf3df,transport,0x3b6289fce2
2016-07-08,-29,0xaf819,food,0xb727ca404e
2016-07-08,-64,0xd8aae,miscellany,0xff2c3d52d7
2016-07-09,-34,0x2c79,miscellany,0x17261a9056
2016-07-09,7,0x1e987,yoga,0x460d3d1c3
2016-07-10,67,0x68034,yoga,0x912a6dd870
2016-07-10,-39,0xb7016,food,0xc552531fb3
2016-07-11,-22,0x8cf08,healthcare,0x8a9f0c3d53
2016-07-11,-1,0xbb46b,housing,0x390b24cbc0
2016-07-12,0,0x85ea0,miscellany,0x231761dea
2016-07-12,-10,0x57501,healthcare,0xdd94d76afa
2016-07-13,-52,0x297e3,healthcare,0x7d4fd3565b
2016-07-13,82,0xff42f,reiki,0xc98cafdb3b
2016-07-14,92,0x95a81,yoga,0x2876b00a55
2016-07-14,-34,0xbf1d0,miscellany,0x5ba53b6d8e
2016-07-15,-45,0x5407b,housing,0x175da56b1a
2016-07-15,16,0xe6497,reiki,0xf2d9f5af0b
2016-07-16,13,0xccf17,reiki,0xb6c13dcf95
2016-07-16,69,0xad862,yoga,0x75aa73e375
2016-07-17,64,0x57e91,thieving,0x9c341f58f5
2016-07-17,-74,0x302d1,food,0xee2f0e91f0
2016-07-18,64,0xec68e,thieving,0x60f97539ac
2016-07-18,-17,0x2ab9c,miscellany,0x3a48be293d
2016-07-19,31,0x43ca2,thieving,0xa45887f56
2016-07-19,-99,0xd98d,food,0xf805a0910b
2016-07-20,-21,0xd2534,transport,0xb84ee33294
2016-07-20,65,0x89a44,reiki,0x8d9d398dc2
2016-07-21,83,0x11282,reiki,0xa549e04131
2016-07-21,89,0xb91c5,yoga,0x943c82a438
2016-07-22,60,0x19aaa,yoga,0xdfad31bc16
2016-07-22,57,0x2ba63,yoga,0x49475d356f
2016-07-23,2,0xb4610,reiki,0xb214cf495e
2016-07-23,68,0x8a234,thieving,0x630bb954f5
2016-07-24,16,0xabbce,yoga,0x638d079a3c
2016-07-24,53,0x398a1,reiki,0x47d8cca786
2016-07-25,5,0x46719,reiki,0x634f4f9dab
2016-07-25,51,0xa6aab,reiki,0x90a59121bf
2016-07-26,-32,0xefcd7,miscellany,0x587c9aaf1
2016-07-26,97,0x3a0c7,thieving,0x2437540524
2016-07-27,-100,0x1b785,miscellany,0x28c62bc49d
2016-07-27,-58,0xf2de6,housing,0xbb9e32d1
2016-07-28,55,0x45682,yoga,0xb63d0379ec
2016-07-28,25,0xb28f8,yoga,0x360706a421
2016-07-29,58,0x813e9,thieving,0x5daea715c2
2016-07-29,-3,0x32aaf,food,0x27b9ade7e3
2016-07-30,-77,0xd45ad,healthcare,0x85c3fe672a
2016-07-30,88,0x27f21,yoga,0x489a4c879c
2016-07-31,-6,0x2a0af,miscellany,0x83e50098f4
2016-07-31,-87,0x3b795,housing,0x6ecafa0e9d
2016-08-01,-8,0x47c72,transport,0x5deede5c9d
2016-08-01,79,0x43478,yoga,0xbd460ee1ab
2016-08-02,38,0x52b63,reiki,0x6c0c53ebaa
2016-08-02,-37,0x1e23b,food,0x700245c6ee
2016-08-03,8,0x43703,thieving,0xda9c1eb214
2016-08-03,-1,0xe47a2,housing,0xde25fde100
2016-08-04,73,0x39343,thieving,0x5e223037cf
2016-08-04,-97,0x5e5c9,miscellany,0x30b72d75a9
2016-08-05,-18,0xa10da,food,0xe7fc8ea018
2016-08-05,15,0xaf003,yoga,0x5ccde3edfd
2016-08-06,-69,0xebcd9,miscellany,0x574e06063d
2016-08-06,-91,0x35b90,food,0x8645f11e70
2016-08-07,-16,0x3c238,healthcare,0xc0269fbbbf
2016-08-07,-32,0x813e1,housing,0x3efe60ceb3
2016-08-08,8,0x1b862,yoga,0xb5ca4eb7b7
2016-08-08,-75,0x64cb7,housing,0xe1c269a6ac
2016-08-09,-38,0x25d67,housing,0xe1a6c027f4
2016-08-09,8,0xa29a1,yoga,0xa6ccce472
2016-08-10,44,0xa2850,reiki,0xd2860b52d5
2016-08-10,23,0x854af,thieving,0x990fb908f1
2016-08-11,-11,0x63e9a,healthcare,0x582105d542
2016-08-11,65,0x9f1d4,thieving,0xc3248cad69
2016-08-12,5,0x87066,yoga,0x4424147780
2016-08-12,-66,0xdcbf7,food,0x721d4f96cc
2016-08-13,-6,0xb89a6,transport,0x270ad6c752
2016-08-13,10,0xf20f7,thieving,0xb1af846fb5
2016-08-14,-34,0xc3a58,miscellany,0x7aa48a3cf1
2016-08-14,36,0x51e1d,reiki,0x231a52185d
2016-08-15,-70,0xbfbbe,miscellany,0xf326cf89df
2016-08-15,64,0x28023,reiki,0xcf2b2fb401
2016-08-16,65,0xd9639,yoga,0x2fccea1e7
2016-08-16,34,0x91dbd,reiki,0x724a52faa3
2016-08-17,7,0x33314,reiki,0x3ffddc92b7
2016-08-17,-82,0x30750,healthcare,0x91ef44788d
2016-08-18,64,0x500f7,reiki,0x3887739d68
2016-08-18,21,0xe49f2,yoga,0x9181a19341
2016-08-19,-48,0x578b1,miscellany,0xf6d2c6554d
2016-08-19,-60,0xaeb43,housing,0xf439498734
2016-08-20,72,0x9b2ac,thieving,0x5383bde9fe
2016-08-20,-44,0x80000,housing,0x4cf9bf25dd
2016-08-21,36,0x1b876,yoga,0x929ce7af8e
2016-08-21,-27,0x7ea95,housing,0xfa1ba5f346
2016-08-22,-75,0xb65e9,miscellany,0x552ffd1327
2016-08-22,70,0xe121d,thieving,0xde9b709430
2016-08-23,-24,0x3f6ab,food,0x10f4728c05
2016-08-23,-66,0x924a7,healthcare,0x60ebe71bcb
2016-08-24,-80,0xd01bb,food,0x846637a85f
2016-08-24,65,0xd2a50,reiki,0x61251034f3
2016-08-25,-80,0x4e3aa,healthcare,0xb4c62ed68e
2016-08-25,6,0x43a71,thieving,0x90f3c0706e
2016-08-26,34,0xe74b7,thieving,0xdf36b31ecd
2016-08-26,83,0xb2f54,yoga,0x72286ed66f
2016-08-27,39,0xc235d,thieving,0x869ea04b6
2016-08-27,-23,0x7823e,healthcare,0x4989280b78
2016-08-28,76,0x31eb9,yoga,0x5703d8d582
2016-08-28,-90,0x3dcbe,transport,0x35ef884512
2016-08-29,32,0x40020,yoga,0x64bd1db464
2016-08-29,42,0xd2fe7,reiki,0x69a8260ad
2016-08-30,-42,0xb8732,housing,0xd2e1465e40
